11100000000191VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11100000000191VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11100000000191VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11151510136029VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11193590815078VINICIUS ALVES FONSECA        RJRIO DE JANEIRO                VFONSECA@EXAMPLE.COM          
11109043617059VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
11113902686081VINICIUS ALVES FONSECA        MGUBERLANDIA                    VFONSECA@EXAMPLE.COM          
11122948679044VINICIUS ALVES FONSECA        MGBELO HORIZONTE                VFONSECA@EXAMPLE.COM          
11157506654024VINICIUS ALVES FONSECA        SPSAO PAULO                     VFONSECA@EXAMPLE.COM          
