222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
222222 2FULANO                        06500350020000F
333333 3SICLANO                       10000800090016M
444444 4BELTRANO                      09000800070020F
